invoice_date,job_card_date,business_partner_name,vehicle_no,vehicle_model,current_km_reading,invoice_line_text
30-05-17,30-05-17,shivXXXXXXXXXX,KA03MFXXXX,BAJAJ AVENGER STREET 220,50000,ENGINE OIL
02-06-17,31-05-17,KIRAXXXXXXXXXX,KA53ESXXXX,BAJAJ PULSAR NS 200,758,ENGINE OIL
02-06-17,31-05-17,KIRAXXXXXXXXXX,KA53ESXXXX,BAJAJ PULSAR NS 200,758,POLISH
02-06-17,31-05-17,KIRAXXXXXXXXXX,KA53ESXXXX,BAJAJ PULSAR NS 200,758,CONSUMABLES
02-06-17,31-05-17,KIRAXXXXXXXXXX,KA53ESXXXX,BAJAJ PULSAR NS 200,758,COOLANT OIL
02-06-17,31-05-17,KIRAXXXXXXXXXX,KA53ESXXXX,BAJAJ PULSAR NS 200,758,CHAIN LUBRICATION
02-06-17,31-05-17,KIRAXXXXXXXXXX,KA53ESXXXX,BAJAJ PULSAR NS 200,758,4 WAY SWITCH
31-05-17,31-05-17,pattXXXXXXXXXX,KA53EMXXXX,BAJAJ PLATINA,3717,ENGINE OIL
31-05-17,31-05-17,pattXXXXXXXXXX,KA53EMXXXX,BAJAJ PLATINA,3717,3M OIL
31-05-17,31-05-17,pattXXXXXXXXXX,KA53EMXXXX,BAJAJ PLATINA,3717,CHAIN LUBRICATION
31-05-17,31-05-17,diliXXXXXXXXXX,KA53S3XXXX,BAJAJ V,2800,GENERAL SERVICE
31-05-17,31-05-17,diliXXXXXXXXXX,KA53S3XXXX,BAJAJ V,2800,ENGINE OIL
31-05-17,31-05-17,diliXXXXXXXXXX,KA53S3XXXX,BAJAJ V,7854,OIL FILTER
31-05-17,31-05-17,diliXXXXXXXXXX,KA53S3XXXX,BAJAJ V,7854,ENGINE OIL
31-05-17,31-05-17,VENKXXXXXXXXXX,KA53ERXXXX,BAJAJ PULSAR 150,5391,ENGINE OIL
31-05-17,31-05-17,VENKXXXXXXXXXX,KA53ERXXXX,BAJAJ PULSAR 150,5391,3M OIL
31-05-17,31-05-17,VENKXXXXXXXXXX,KA53ERXXXX,BAJAJ PULSAR 150,5391,CHAIN LUBRICATION
03-06-17,31-05-17,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000,INDICATOR
03-06-17,31-05-17,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000,HEAD REST
03-06-17,31-05-17,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000,VALVE GUIDE
03-06-17,31-05-17,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000,TIMMING CHAIN
03-06-17,31-05-17,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000,FOOT REST
03-06-17,31-05-17,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000,LOW BEAM BULB
03-06-17,31-05-17,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000,VALVE GRAINDING
03-06-17,31-05-17,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000,DISC PAD
03-06-17,31-05-17,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000,LOADING GEAR
